Nombre Región;Nombre Provincia;Nombre Comuna
Tarapacá;Iquique;Iquique
Tarapacá;Iquique;Alto Hospicio
Tarapacá;Tamarugal;Pozo Almonte
Tarapacá;Tamarugal;Camiña
Tarapacá;Tamarugal;Colchane
Tarapacá;Tamarugal;Huara
Tarapacá;Tamarugal;Pica
Antofagasta;Antofagasta;Antofagasta
Antofagasta;Antofagasta;Mejillones
Antofagasta;Antofagasta;Sierra Gorda
Antofagasta;Antofagasta;Taltal
Antofagasta;El Loa;Calama
Antofagasta;El Loa;Ollagüe
Antofagasta;El Loa;San Pedro de Atacama
Antofagasta;Tocopilla;Tocopilla
Antofagasta;Tocopilla;María Elena
Atacama;Copiapó;Copiapó
Atacama;Copiapó;Caldera
Atacama;Copiapó;Tierra Amarilla
Atacama;Chañaral;Chañaral
Atacama;Chañaral;Diego de Almagro
Atacama;Huasco;Vallenar
Atacama;Huasco;Alto del Carmen
Atacama;Huasco;Freirina
Atacama;Huasco;Huasco
Coquimbo;Elqui;La Serena
Coquimbo;Elqui;Coquimbo
Coquimbo;Elqui;Andacollo
Coquimbo;Elqui;La Higuera
Coquimbo;Elqui;Paiguano
Coquimbo;Elqui;Vicuña
Coquimbo;Choapa;Illapel
Coquimbo;Choapa;Canela
Coquimbo;Choapa;Los Vilos
Coquimbo;Choapa;Salamanca
Coquimbo;Limarí;Ovalle
Coquimbo;Limarí;Combarbalá
Coquimbo;Limarí;Monte Patria
Coquimbo;Limarí;Punitaqui
Coquimbo;Limarí;Río Hurtado
Valparaíso;Valparaíso;Valparaíso
Valparaíso;Valparaíso;Casablanca
Valparaíso;Valparaíso;Concón
Valparaíso;Valparaíso;Juan Fernández
Valparaíso;Valparaíso;Puchuncaví
Valparaíso;Valparaíso;Quintero
Valparaíso;Valparaíso;Viña del Mar
Valparaíso;Isla de Pascua;Isla de Pascua
Valparaíso;Los Andes;Los Andes
Valparaíso;Los Andes;Calle Larga
Valparaíso;Los Andes;Rinconada
Valparaíso;Los Andes;San Esteban
Valparaíso;Petorca;La Ligua
Valparaíso;Petorca;Cabildo
Valparaíso;Petorca;Papudo
Valparaíso;Petorca;Petorca
Valparaíso;Petorca;Zapallar
Valparaíso;Quillota;Quillota
Valparaíso;Quillota;Calera
Valparaíso;Quillota;Hijuelas
Valparaíso;Quillota;La Cruz
Valparaíso;Quillota;Nogales
Valparaíso;San Antonio;San Antonio
Valparaíso;San Antonio;Algarrobo
Valparaíso;San Antonio;Cartagena
Valparaíso;San Antonio;El Quisco
Valparaíso;San Antonio;El Tabo
Valparaíso;San Antonio;Santo Domingo
Valparaíso;San Felipe de Aconcagua;San Felipe
Valparaíso;San Felipe de Aconcagua;Catemu
Valparaíso;San Felipe de Aconcagua;Llaillay
Valparaíso;San Felipe de Aconcagua;Panquehue
Valparaíso;San Felipe de Aconcagua;Putaendo
Valparaíso;San Felipe de Aconcagua;Santa María
Valparaíso;Marga Marga;Quilpué
Valparaíso;Marga Marga;Limache
Valparaíso;Marga Marga;Olmué
Valparaíso;Marga Marga;Villa Alemana
Libertador General Bernardo O'Higgins;Cachapoal;Rancagua
Libertador General Bernardo O'Higgins;Cachapoal;Codegua
Libertador General Bernardo O'Higgins;Cachapoal;Coinco
